Time,ID,Data
0.006133940000000,27,
0.016181400000000,33,0000F8FF
0.026112380000000,1,0000F8FF
0.036113920000000,41,0000F8FF
0.046112340000000,9,0000F8FF
0.076074880000000,52,FEFF
0.086097080000000,53,
0.136078180000000,21,00A28000
0.146056120000000,32,0000F8FC
0.156022760000000,0,0000F8FC
0.166009240000000,40,0000F8FC
0.175986620000000,8,0000F8FC
0.205958460000000,20,80FF
0.215950080000000,24,00FFFFFF
0.225943740000000,34,
0.235935740000000,2,
0.245912540000000,42,
0.255927020000000,10,
0.285901980000000,25,
0.295884840000000,26,
0.305875520000000,27,
0.315883940000000,33,0000F8FF
0.325853880000000,1,0000F8FF
0.335855480000000,41,0000F8FF
0.345853840000000,9,0000F8FF
0.375829420000000,52,FEFF
0.385799680000000,53,
0.435791940000000,21,00A28000
0.445765520000000,32,0000F8FC
0.455764320000000,0,0000F8FC
0.465766180000000,40,0000F8FC
0.475741740000000,8,0000F8FC
0.505713440000000,20,80FF
0.515705120000000,24,00FFFFFF
0.525698920000000,34,
0.535717140000000,2,
0.545675160000000,42,
0.555682140000000,10,
0.585681380000000,25,
0.595639900000000,26,
0.605623200000000,27,
0.615639100000000,33,0000F8FF
0.625609000000000,1,0000F8FF
0.635610520000000,41,0000F8FF
0.645609060000000,9,0000F8FF
0.675571480000000,52,FEFF
0.685571020000000,53,
0.735536440000000,21,00A28000
0.745503080000000,32,0000F8FC
0.755503120000000,0,0000F8FC
0.765505800000000,40,0000F8FC
0.775483280000000,8,0000F8FC
0.805455060000000,20,80FF
0.815446680000000,24,00FFFFFF
0.825440340000000,34,
0.835432020000000,2,
0.845416700000000,42,
0.855416120000000,10,
0.885398580000000,25,
0.895381320000000,26,
0.905416400000000,27,
0.915380540000000,33,0000F8FF
0.925389480000000,1,0000F8FF
0.935352080000000,41,0000F8FF
0.945350440000000,9,0000F8FF
0.975299360000000,52,FEFF
0.985282660000000,53,
1.035264020000000,21,00A28000
1.045238500000000,32,0000F8FC
1.055230880000000,0,0000F8FC
1.065233660000000,40,0000F8FC
1.075211080000000,8,0000F8FC
1.105184500000000,20,80FF
1.115174400000000,24,00FFFFFF
1.125168280000000,34,
1.135159960000000,2,
1.145144500000000,42,
1.155151480000000,10,
1.185165100000000,25,
1.195109180000000,26,
1.205100040000000,27,
1.215128620000000,33,0000F8FF
1.225078340000000,1,0000F8FF
1.235080120000000,41,0000F8FF
1.245070860000000,9,0000F8FF
1.275040820000000,52,FEFF
1.285024200000000,53,
1.335005480000000,21,00A28000
1.344980040000000,32,0000F8FC
1.354964860000000,0,0000F8FC
1.364975140000000,40,0000F8FC
1.374952560000000,8,0000F8FC
1.404924400000000,20,80FF
1.414916020000000,24,00FFFFFF
1.424950920000000,34,
1.434914540000000,2,
1.444886040000000,42,
1.454892940000000,10,
1.484867900000000,25,
1.494878620000000,26,
1.504841460000000,27,
1.514850000000000,33,0000F8FF
1.524819820000000,1,0000F8FF
1.534863300000000,41,0000F8FF
1.544819760000000,9,0000F8FF
1.574782300000000,52,FEFF
1.584765560000000,53,
1.634763240000000,21,00A28000
1.644721460000000,32,0000F8FC
1.654713800000000,0,0000F8FC
1.664716600000000,40,0000F8FC
1.674694100000000,8,0000F8FC
1.704665800000000,20,80FF
1.714657360000000,24,00FFFFFF
1.724651200000000,34,
1.734643140000000,2,
1.744633000000000,42,
1.754648080000000,10,
1.784622920000000,25,
1.794603280000000,26,
1.804582980000000,27,
1.814591440000000,33,0000F8FF
1.824561260000000,1,0000F8FF
1.834602200000000,41,0000F8FF
1.844616540000000,9,0000F8FF
1.874523760000000,52,FEFF
1.884506980000000,53,
1.934488400000000,21,00A08000
1.944504980000000,32,0000F8FC
1.954455380000000,0,0000F8FC
1.964510560000000,40,0000F8FC
1.974435480000000,8,0000F8FC
2.004407320000000,20,80FF
2.014398800000000,24,00FFFFFF
2.024392600000000,34,
2.034384340000000,2,
2.044368820000000,42,
2.054478760000000,10,
2.084350820000000,25,
2.094333560000000,26,
2.104355700000000,27,
2.114385400000000,33,0000F8FF
2.124316320000000,1,0000F8FF
2.134356460000000,41,0000F8FF
2.144316340000000,9,0000F8FF
2.174265200000000,52,FEFF
2.184248500000000,53,
2.234230220000000,21,00A08000
2.244206660000000,32,0000F8FC
2.254196820000000,0,0000F8FC
2.264254860000000,40,0000F8FC
2.274245300000000,8,0000F8FC
2.304148700000000,20,80FF
2.314140360000000,24,00FFFFFF
2.324134100000000,34,
2.334125820000000,2,
2.344110320000000,42,
2.354109800000000,10,
2.384105240000000,25,
2.394075000000000,26,
2.404065860000000,27,
2.414074200000000,33,0000F8FF
2.424044160000000,1,0000F8FF
2.434048060000000,41,0000F8FF
2.444044160000000,9,0000F8FF
2.474077120000000,52,FEFF
2.483989860000000,53,
2.533984940000000,21,00A08000
2.543945700000000,32,0000F8FC
2.553938140000000,0,0000F8FC
2.563940980000000,40,0000F8FC
2.573918360000000,8,0000F8FC
2.603882640000000,20,80FF
2.613881680000000,24,00FFFFFF
2.623875460000000,34,
2.633867280000000,2,
2.643851820000000,42,
2.653858720000000,10,
2.683833680000000,25,
2.693836660000000,26,
2.703807200000000,27,
2.713815620000000,33,0000F8FF
2.723802740000000,1,0000F8FF
2.733826200000000,41,0000F8FF
2.743777980000000,9,0000F8FF
2.773748120000000,52,FEFF
2.783731360000000,53,
2.833712760000000,21,00A08000
2.843687260000000,32,0000F8FC
2.853672120000000,0,0000F8FC
2.863682340000000,40,0000F8FC
2.873659840000000,8,0000F8FC
2.903631560000000,20,84FF
2.913636340000000,24,00FFFFFF
2.923616960000000,34,
2.933608680000000,2,
2.943593180000000,42,
2.953600160000000,10,
2.983575040000000,25,
2.993557960000000,26,
3.003549840000000,27,
3.013557040000000,33,0000F8FF
3.023527880000000,1,0000F8FF
3.033528600000000,41,0000F8FF
3.043527000000000,9,0000F8FF
3.073489480000000,52,FEFF
3.083472840000000,53,
3.133454120000000,21,00A08002
3.143428680000000,32,0000F8FC
3.153420980000000,0,0000F8FC
3.163423820000000,40,0000F8FC
3.173401240000000,8,0000F8FC
3.203373020000000,20,89FF
3.213364500000000,24,00FFFFFF
3.223371360000000,34,
3.233350360000000,2,
3.243327100000000,42,
3.253341580000000,10,
3.283316520000000,25,
3.293299260000000,26,
3.303290040000000,27,
3.313298460000000,33,0000F8FF
3.323268400000000,1,0000F8FF
3.333283000000000,41,0000F8FF
3.343268360000000,9,0000F8FF
3.373230880000000,52,FEFF
3.383214180000000,53,
3.433195520000000,21,00A08002
